iter	Passed	Remaining
410	3802	5449
411	3811	5440
412	3819	5428
413	3827	5417
414	3837	5409
415	3846	5399
416	3853	5387
417	3861	5375
418	3869	5365
419	3877	5354
420	3885	5343
421	3893	5332
422	3901	5321
423	3909	5310
424	3917	5299
425	3925	5289
426	3934	5279
427	3942	5268
428	3950	5258
429	3958	5247
430	3966	5236
431	3975	5227
432	3984	5217
433	3993	5207
434	4001	5197
435	4009	5186
436	4018	5177
437	4026	5166
438	4035	5156
439	4044	5147
440	4052	5136
441	4059	5125
442	4067	5113
443	4076	5104
444	4085	5095
445	4093	5085
446	4102	5075
447	4110	5064
448	4120	5056
449	4128	5045
450	4136	5035
451	4145	5026
452	4154	5016
453	4162	5005
454	4171	4996
455	4179	4985
456	4188	4976
457	4195	4964
458	4204	4955
459	4212	4944
460	4220	4934
461	4228	4923
462	4235	4912
463	4242	4900
464	4250	4890
465	4260	4882
466	4268	4872
467	4277	4862
468	4287	4853
469	4302	4851
470	4310	4840
471	4319	4832
472	4328	4822
473	4337	4812
474	4345	4802
475	4360	4800
476	4378	4800
477	4390	4794
478	4399	4785
479	4408	4775
480	4418	4767
481	4427	4757
482	4435	4747
483	4443	4737
484	4452	4727
485	4459	4716
486	4470	4708
487	4478	4699
488	4486	4688
489	4494	4678
490	4506	4671
491	4513	4660
492	4522	4651
493	4530	4640
494	4539	4631
495	4550	4623
496	4558	4613
497	4567	4603
498	4575	4594
499	4583	4583
500	4591	4572
501	4599	4563
502	4608	4553
503	4615	4542
504	4623	4532
505	4631	4521
506	4639	4511
507	4647	4500
508	4655	4491
509	4664	4481
510	4673	4471
511	4681	4462
512	4691	4453
513	4698	4442
514	4705	4431
515	4713	4421
516	4725	4414
517	4734	4405
518	4742	4394
519	4749	4384
520	4759	4375
521	4769	4367
522	4779	4359
523	4786	4348
524	4795	4339
525	4807	4332
526	4821	4327
527	4831	4318
528	4841	4310
529	4850	4301
530	4859	4292
531	4869	4283
532	4883	4278
533	4891	4268
534	4898	4257
535	4906	4247
536	4914	4237
537	4922	4226
538	4930	4216
539	4939	4207
540	4947	4197
541	4955	4187
542	4963	4177
543	4970	4166
544	4978	4156
545	4986	4146
546	4994	4136
547	5002	4125
548	5010	4115
549	5018	4106
550	5026	4095
551	5032	4084
552	5040	4074
553	5048	4064
554	5056	4054
555	5064	4044
556	5074	4035
557	5082	4026
558	5090	4016
559	5099	4006
560	5107	3997
561	5116	3987
562	5126	3978
563	5134	3968
564	5143	3960
565	5154	3952
566	5162	3942
567	5170	3932
568	5178	3922
569	5186	3912
570	5194	3902
571	5202	3892
572	5209	3881
573	5216	3871
574	5224	3861
575	5232	3851
576	5240	3842
577	5248	3832
578	5256	3822
579	5265	3812
580	5273	3802
581	5280	3792
582	5289	3783
583	5298	3773
584	5308	3765
585	5317	3756
586	5325	3746
587	5333	3737
588	5342	3727
589	5349	3717
590	5357	3707
591	5366	3698
592	5374	3688
593	5382	3678
594	5391	3669
595	5399	3659
596	5407	3650
597	5415	3640
598	5423	3630
599	5430	3620
600	5439	3611
601	5447	3601
602	5455	3591
603	5464	3582
604	5472	3573
605	5480	3563
606	5488	3553
607	5497	3544
608	5505	3534
609	5514	3525
610	5521	3515
611	5529	3505
612	5539	3497
613	5547	3487
614	5555	3477
615	5563	3468
616	5572	3458
617	5580	3449
618	5589	3440
619	5597	3430
620	5605	3420
621	5613	3411
622	5621	3401
623	5629	3391
624	5637	3382
625	5654	3378
626	5662	3368
627	5671	3359
628	5680	3350
629	5688	3340
630	5696	3330
631	5703	3321
632	5711	3311
633	5719	3301
634	5726	3291
635	5734	3281
636	5743	3273
637	5752	3263
638	5760	3254
639	5769	3245
640	5778	3236
641	5789	3228
642	5798	3219
643	5806	3209
644	5816	3201
645	5825	3192
646	5832	3182
647	5841	3173
648	5850	3164
649	5860	3155
650	5870	3147
651	5879	3137
652	5892	3131
653	5902	3122
654	5911	3113
655	5920	3104
656	5929	3095
657	5939	3086
658	5946	3077
659	5955	3067
660	5964	3058
661	5974	3050
662	5983	3041
663	5998	3035
664	6008	3027
665	6016	3017
666	6023	3007
667	6032	2998
668	6040	2988
669	6049	2979
670	6057	2970
671	6065	2960
672	6073	2951
673	6082	2941
674	6090	2932
675	6102	2924
676	6113	2916
677	6122	2907
678	6131	2898
679	6141	2889
680	6150	2880
681	6168	2876
682	6180	2868
683	6189	2859
684	6198	2850
685	6207	2841
686	6215	2832
687	6223	2822
688	6234	2814
689	6242	2804
690	6251	2795
691	6259	2786
692	6270	2777
693	6278	2768
694	6285	2758
695	6293	2748
696	6300	2739
697	6309	2729
698	6318	2720
699	6329	2712
700	6338	2703
701	6346	2694
702	6355	2684
703	6363	2675
704	6373	2666
705	6381	2657
706	6390	2648
707	6397	2638
708	6408	2630
709	6416	2620
710	6424	2611
711	6432	2601
712	6440	2592
713	6448	2583
714	6457	2574
715	6466	2564
716	6475	2555
717	6484	2546
718	6493	2537
719	6501	2528
720	6509	2518
721	6517	2509
722	6525	2500
723	6532	2490
724	6540	2480
725	6549	2472
726	6558	2462
727	6567	2453
728	6576	2444
729	6584	2435
730	6592	2426
731	6600	2416
732	6608	2407
733	6617	2398
734	6626	2388
735	6634	2379
736	6641	2370
737	6649	2360
738	6658	2351
739	6667	2342
740	6676	2333
741	6685	2324
742	6693	2315
743	6702	2306
744	6711	2297
745	6719	2287
746	6728	2278
747	6736	2269
748	6745	2260
749	6752	2250
750	6760	2241
751	6769	2232
752	6777	2223
753	6789	2215
754	6796	2205
755	6804	2196
756	6812	2186
757	6821	2177
758	6830	2168
759	6839	2159
760	6846	2150
761	6854	2140
762	6862	2131
763	6870	2122
764	6879	2113
765	6887	2104
766	6895	2094
767	6904	2085
768	6913	2076
769	6922	2067
770	6931	2058
771	6940	2049
772	6948	2040
773	6961	2032
774	6971	2024
775	6980	2015
776	6989	2006
777	6999	1997
778	7008	1988
779	7017	1979
780	7025	1970
781	7034	1961
782	7045	1952
783	7054	1943
784	7063	1934
785	7071	1925
786	7078	1915
787	7086	1906
788	7095	1897
789	7104	1888
790	7116	1880
791	7125	1871
792	7133	1862
793	7142	1853
794	7151	1843
795	7159	1834
796	7168	1825
797	7177	1816
798	7186	1807
799	7194	1798
800	7201	1789
801	7209	1780
802	7217	1770
803	7226	1761
804	7235	1752
805	7244	1743
806	7251	1734
807	7259	1725
808	7267	1715
809	7276	1706
810	7284	1697
811	7291	1688
812	7300	1679
813	7311	1670
814	7319	1661
815	7327	1652
816	7336	1643
817	7345	1634
818	7352	1624
819	7362	1616
820	7370	1607
821	7380	1598
822	7389	1589
823	7397	1580
824	7406	1571
825	7415	1562
826	7423	1552
827	7431	1543
828	7440	1534
829	7449	1525
830	7457	1516
831	7465	1507
832	7474	1498
833	7481	1489
834	7489	1479
835	7497	1470
836	7506	1461
837	7514	1452
838	7526	1444
839	7535	1435
840	7543	1426
841	7552	1417
842	7563	1408
843	7572	1399
844	7580	1390
845	7588	1381
846	7596	1372
847	7604	1363
848	7612	1353
849	7621	1344
850	7628	1335
851	7637	1326
852	7645	1317
853	7654	1308
854	7662	1299
855	7671	1290
856	7680	1281
857	7689	1272
858	7698	1263
859	7708	1254
860	7716	1245
861	7724	1236
862	7736	1228
863	7744	1219
864	7753	1210
865	7762	1201
866	7771	1192
867	7780	1183
868	7788	1174
869	7797	1165
870	7804	1155
871	7813	1146
872	7821	1137
873	7829	1128
874	7837	1119
875	7845	1110
876	7853	1101
877	7862	1092
878	7869	1083
879	7876	1074
880	7884	1065
881	7893	1056
882	7900	1046
883	7909	1037
884	7919	1029
885	7926	1019
886	7934	1010
887	7941	1001
888	7949	992
889	7957	983
890	7965	974
891	7974	965
892	7982	956
893	7991	947
894	7999	938
895	8007	929
896	8015	920
897	8022	911
898	8030	902
899	8038	893
900	8046	884
901	8055	875
902	8064	866
903	8072	857
904	8081	848
905	8088	839
906	8096	830
907	8104	821
908	8113	812
909	8122	803
910	8129	794
911	8139	785
912	8148	776
913	8159	767
914	8180	759
915	8196	751
916	8204	742
917	8215	733
918	8226	725
919	8236	716
920	8244	707
921	8253	698
922	8261	689
923	8269	680
924	8279	671
925	8288	662
926	8296	653
927	8305	644
928	8314	635
929	8322	626
930	8330	617
931	8339	608
932	8347	599
933	8355	590
934	8365	581
935	8375	572
936	8383	563
937	8391	554
938	8399	545
939	8407	536
940	8415	527
941	8422	518
942	8430	509
943	8438	500
944	8444	491
945	8452	482
946	8465	473
947	8473	464
948	8480	455
949	8489	446
950	8498	437
951	8505	428
952	8514	419
953	8521	410
954	8531	401
955	8539	393
956	8547	384
957	8558	375
958	8566	366
959	8578	357
960	8586	348
961	8594	339
962	8602	330
963	8610	321
964	8618	312
965	8625	303
966	8634	294
967	8642	285
968	8651	276
969	8660	267
970	8668	258
971	8675	249
972	8684	240
973	8691	232
974	8699	223
975	8707	214
976	8715	205
977	8723	196
978	8731	187
